fips,level,growth,H,cr4,entrant_share,sbir_share,underuse,pop,RICH,GROW,OPP,PRI,PRI_pca
47037,10747393458.275358,0.22114255381928416,3.1640369455530544,0.45146004017163455,0.14874538497298762,0.003214249178747119,-0.32035112325233317,675931.4117647059,0.9464341326689505,0.7319888533285477,0.6968753244056888,0.791766103467729,0.9626865671641791
41051,13460232463.508373,-0.604457137161706,3.4336633651534005,0.3610357234175664,0.04705798851300436,0.007171940099019795,-0.32831053767704055,780194.2941176471,0.9539084397383992,0.5185047843312134,0.7348697186753866,0.7357609809149998,0.973202170963365
51650,17745701229.589603,-0.4126970204512972,3.2358865746122647,0.1567943958340244,0.01824918807274146,0.011508399003646407,-3.2395253845508716,136824.11764705883,0.9607598878853939,0.46918157889727896,0.6501609052216341,0.693367457334769,0.9976255088195387
12009,97741973313.67896,0.39851538542465903,3.1804786143321784,0.4990617974213703,0.009125990296903138,0.005148589219818379,-2.7509575339870813,583353.7647058824,0.9922142634693242,0.5587172762530942,0.5755216443475553,0.7088177280233245,0.9511533242876526
02240,2096342720.117281,0.6731577658880852,2.558648320424486,0.33956268004694623,0.2622314355830513,2.2240873029252242e-4,-5.6044192595819124,6993.235294117647,0.8726253503581439,0.81637256874672,0.5515415758330738,0.7468464983126459,0.9704884667571235
06111,25234777075.977066,-0.01924324365457153,3.389791264177954,0.17838287112612075,0.008861252214479295,0.0165538210138196,-0.8519872851037672,836134.8235294118,0.9682341949548428,0.49157654975260334,0.747430706944877,0.7357471505507743,0.9806648575305291
04027,10608350439.063608,0.13344004118280495,2.4003586055859154,0.4981053635619085,0.038471060203068765,0.003641251279978998,-2.1066387240121234,205875.0588235294,0.9454998442852693,0.6249546809584796,0.5890169210007267,0.7198238154148252,0.9168928086838535
22087,1187034374.1001296,-3.454142156508601,0.8714599721869482,0.8545974253803087,0,0,-2.3078471608573072,42404.41176470588,0.8358766739333541,0.022388059701492536,0.1670300010380982,0.34176491155764827,0.3341248303934871
21019,126759496.56081705,-1.2832625354293192,2.758065374542176,0.3555154044385904,0.015946441747809955,0,0.1286508639636273,48381.35294117647,0.5988788539395827,0.36417407406400315,0.4743070694487699,0.47911999915078524,0.7198100407055631
46009,1601669.1063581102,-0.480308041218505,1.896603154441096,0.7560788142472483,0,0,1.5742144309846005,7001.235294117647,0.10028028651510433,0.19182496607869742,0.43641648499948094,0.2428405791977609,0.16723202170963364
36107,21009784409.703106,-0.0221317879430174,1.6058051171907344,0.9926798005336394,1.590974628641452e-5,8.44864213310566e-5,-4.954284337272333,49269,0.9657427592650265,0.39837193609290045,0.2737464964185612,0.5459537305921628,0.5790366350067843
26145,786813722.8213083,-0.6979930554677907,3.241436224864133,0.3280454493671716,0.027287954069008608,1.9614745174096452e-5,0.4031921781024022,193788.11764705883,0.7957022734350669,0.46188917862862766,0.7378802034672479,0.6651572185103142,0.9009497964721845
46065,284586037.09555906,-0.2930946257483207,3.031885876856009,0.2616553544988982,0.11785742386957752,0.017504697205115723,-2.2228468039364184,17458.058823529413,0.6960448458424167,0.6314406288832753,0.6701962005605729,0.6658938917620882,0.9752374491180461
54039,1500764304.832282,-0.35192748388918105,3.010560579987255,0.4066237469025858,0.03263391165243469,0,-0.3133227749106561,184934.64705882352,0.8533167237620679,0.5244377266518564,0.43236790200352954,0.6033741174724846,0.8202170963364993
21093,10472569112.758392,-0.47723748738269833,2.8832958851203974,0.23262719890474512,0.03589928861664389,6.624593341691582e-6,-3.063920271881884,108448.17647058824,0.9442541264403612,0.5146554982420743,0.5788435586006436,0.6792510610943597,0.9772727272727273
16059,207082449.16834486,1.0266713299179813,2.0519038290577294,0.1773481985942437,0.08381075048491507,0,-3.092723831991006,7964.64705882353,0.6574275926502647,0.7912121166802171,0.34932004567632097,0.5993199183356009,0.7883310719131614
39173,410173968.6234007,1.964599393772259,1.8700717195969752,0.8562677061067686,0.004350155248238192,0.0036773090614760488,0.4445756150265066,129504.35294117648,0.73871068203052,0.6447540037107231,0.6030312467559431,0.6621653108323954,0.5905698778833107
19113,29268566349.892143,0.1271509022315449,2.3233201242452037,0.8471071446259373,0.005665767995921885,0.0021608023360169663,-3.011349666220067,221418.4705882353,0.9719713484895671,0.4961815308590949,0.42105263157894735,0.6297351703092031,0.7974898236092266
08069,7227106205.984474,0.7657525119772828,2.8222903022729753,0.3799617139006962,0.035896223200931394,0.02402605751494864,-0.9830729730443845,335639.76470588235,0.932108377452507,0.6944410077504625,0.708605834111907,0.7783850731049587,0.9535278154681139
16043,46936782.57356537,1.8255503018681356,1.610014107400051,0.7114049030174664,0.007173373193105786,0,-0.8324881052629347,13298.764705882353,0.4521955777016506,0.6630406901546195,0.30177514792899407,0.4723371385950881,0.40637720488466755
47157,27478840165.99292,-0.9251036600725264,2.613148868377384,0.6468111069204578,0.02252635254231521,0.001320425913857566,-0.7773348786211309,929272,0.970725630644659,0.4231298417730984,0.5924426450742241,0.6620993724973272,0.8710990502035278
26099,63684555564.2931,-0.233889914401324,1.4555150167514486,0.870544545452973,0.0018758637337525318,5.279897372185668e-4,-1.728562799361514,863729.3529411765,0.9866085331672376,0.3936210276727131,0.43434028859130075,0.6048566164770839,0.6509497964721845
42089,12002328627.77093,-2.0442700088581063,1.452232765935949,0.7892633606422573,0.008225889126819493,0.0012963952381678445,-2.536369967935438,168159.41176470587,0.9507941451261289,0.2833544746662026,0.45406415446901277,0.5627375914204481,0.7137042062415196
56021,3279134314.7068014,0.12092804409952507,3.1251101409269344,0.20406038662949377,0.05012304721665913,0.00257532488345847,-2.0728261477273864,96920.88235294117,0.8959825599501713,0.645300098161044,0.6489151873767258,0.7300659484959803,0.9894843962008141
48375,52702194763.10591,-1.2115394578683194,1.1101213259984588,0.9754039070105792,0.00665628225906007,0,-4.53502206485386,119335.70588235294,0.9825599501712862,0.32253595839349436,0.05294300840859545,0.45267963899112534,0.4206241519674355
42003,104144687332.16086,0.5103712366107835,1.7171970441275521,0.7937410366714108,0.00567926360915785,0.0033832573432102235,-1.6866064594138246,1228984.5882352942,0.9934599813142323,0.5455318144203377,0.49756046922038827,0.6788507549849861,0.7472862957937585
29037,156302844.0236926,-0.7293603944649565,2.5960314609595705,0.5298153458918266,0.17608809520082178,0.005403772915369958,1.0795275861055864,104145.58823529411,0.6272189349112426,0.5909129430276202,0.7809612789369874,0.6663643856252834,0.8344640434192673
20209,8540747082.529877,2.970428453522338,1.4980404271499963,0.9310727362706405,0.0014782421127273687,2.0172224591041144e-4,-2.242582413579222,163075.41176470587,0.9380255372158206,0.6387701907659734,0.3702896293989411,0.6490284524602451,0.601763907734057
25017,177200311302.63858,-0.18953360941904052,3.055509130544849,0.35410745602036386,0.08832596983858378,0.01928043632201006,-1.8368152461555634,1581084.5882352942,0.9975085643101838,0.630545237920436,0.669054292536074,0.7657026982555646,0.9986431478968792
34007,10979777710.560852,-1.0213290224823623,3.155155100273115,0.4293541437559291,0.007526968451114207,3.417649277113666e-4,-0.7536249051333928,514891.9411764706,0.9473684210526315,0.3448276018341523,0.6470466106093636,0.6464142111653824,0.9209633649932157
05033,131645704.2717151,-2.4965455354762405,2.1193189980013245,0.7564243232237765,0.2999050937176783,0,0.4619785249542159,61826.82352941176,0.6057303020865774,0.5016873412134083,0.3684210526315789,0.4919462319771882,0.5776797829036635
09003,100575747986.8612,0.36610617358579134,1.4543763100280946,0.9276317562433934,1.8494217642781624e-4,0.001404087528163341,-2.132796286434108,894354.6666666666,0.9928371223917782,0.46477951379919497,0.3974878023461019,0.618368146179025,0.6166892808683854
53045,73129843.49926974,0.8454062502701021,2.247367199750355,0.6768759972460983,0,0.002843915041751062,1.0943499290362098,63671.35294117647,0.5169729056368733,0.3819538670284939,0.7189868161528081,0.5393045296060585,0.5522388059701493
42077,2119657966.6223817,0.5921880683215157,2.701205527038201,0.7037697056512696,0.011471893145409388,0.006698343190980055,0.3649447238904769,363678.76470588235,0.873871068203052,0.5922891690209908,0.6763209799647046,0.7141604057295825,0.8144504748982361
25009,83758321077.48796,-0.09114033239060149,2.271830666511957,0.8880774114898744,0.0014605587083349777,0.00666472917208619,-2.158297052527408,779271.8235294118,0.9906571161631891,0.4133709526696994,0.44586317865670094,0.6166304158298631,0.7700135685210312
39041,796011924.7004874,1.0037925021161556,3.254711228440042,0.4931578684015592,0.008669159182481864,0.08042533631776506,0.43341615938728745,199220.82352941178,0.7966365618187481,0.6196424962090622,0.7839717637288488,0.7334169405855531,0.8853459972862958
22015,3087602344.49637,0.48320856528579625,3.020364773758978,0.15833244466383845,0.05834765223917629,0.010260309074250858,-1.630917821205902,124724.05882352941,0.893802553721582,0.7053097601806961,0.6974981833281428,0.7655368324101404,0.9935549525101763
48347,11064192.819461612,0.22892936426251076,2.7950179802106336,0.40406538747292164,0.020802954417605574,0,3.015652861189676,65065.41176470588,0.2631578947368421,0.5870661494857649,0.5976331360946746,0.4826190601057605,0.5474898236092266
39087,74697052.84674527,-0.29512338986395115,2.6133206213691618,0.5637049765000216,0.022925247552021185,0,0.9842987396759164,60041.294117647056,0.5228900654001869,0.5048489108474752,0.47586421675490503,0.501201064334189,0.6037991858887382
25005,24009567954.40371,-1.5914519137654004,1.716582616232216,0.9240269380301497,0.016629113617443205,0.0022104562886506077,-1.4014032594016548,562786.9411764706,0.9672999065711616,0.3436178100207652,0.43548219661579984,0.5821333044025755,0.6879240162822252
21211,394366694.05045164,-1.558500313196678,1.05673249027966,0.9179639742949057,0.001581448851283373,8.858129601334528e-5,-1.080856600016788,46057,0.7334163811896606,0.24645469138185916,0.427592650264715,0.4691545742787449,0.45861601085481685
42063,213278517.5475163,0.6407199150523581,2.1700489314386178,0.8196118382012929,0.04698260341665491,4.7989697570965955e-4,0.47614784653148373,85839.70588235294,0.660541887262535,0.7066036188161036,0.5948302709436313,0.6539919256740899,0.6753731343283582
28043,73223658.11169495,-0.7441363068441831,2.4563280448891467,0.5218541429509833,0.23398231546575243,0,-0.5566266185129464,21408,0.5179071940205543,0.6027465378518231,0.38264299802761337,0.5010989099666635,0.7099728629579376
48427,1645218756.7405927,2.79211442439237,0.586047039017826,0.8083296264879366,0.037640031503566096,0,-2.0210696424660965,63586.117647058825,0.8595453129866085,0.8001999022921464,0.19827675698121042,0.6193406574199884,0.4626865671641791
42021,10865219578.462866,-0.8792235127141943,2.727408006338453,0.8257428398230896,3.773038887716389e-4,0.0011753931910961548,-2.755799937467897,136206.17647058822,0.9467455621301775,0.28491582894418416,0.42998027613412226,0.5538805557361614,0.8134328358208955
08101,4633195074.470795,1.7894630808211787,1.4646588924758492,0.7939499017260702,0.005061590717847655,0,-1.61918781251479,164351,0.9134226097788851,0.6433059470365425,0.2213225371120108,0.5926836979758129,0.5176390773405699
12113,1245097770.9996526,0.3087914237218037,2.8544293839022967,0.34525150532198,0.03313922672847309,0.005644893465414519,-0.22079747322803733,173771.35294117648,0.8399252569293055,0.6353421451677665,0.7417211668223814,0.7389961896398178,0.9260515603799185
29021,349677928.63425076,0.1856803117768706,2.2903085113057235,0.6803549394055655,0.007411513524547061,0,0.009045093063722526,87402.70588235294,0.7194020554344441,0.5173304546678159,0.36810962317035195,0.5349473777575373,0.5868385345997287
18057,2394367594.618938,1.1261398918370773,1.917596539786632,0.8537100119462069,0.02201155387590454,0.0058022588506094885,0.04426061148959442,318909.9411764706,0.8813453752725008,0.6909697957652075,0.5849683380047752,0.7190945030141611,0.7011533242876526
37095,43290743.81718374,-1.0218412901636285,2.3415798217921444,0.4577308824642723,0.19561441605717686,0,-2.1607176084484245,5241.823529411765,0.4375583930239801,0.5684388904448426,0.31807328973320875,0.4413568577340105,0.7208276797829036
36117,843223762.3612125,-1.2357208269433002,2.1492533480793523,0.7778797042188902,2.227937499304045e-4,0.05439249446586475,-0.7986295543283175,91694.05882352941,0.8028651510432887,0.24884957613100467,0.5978407557354926,0.5498518276365952,0.7327001356852103
13237,17958307.133971024,0.07389411151784309,2.6266123484520554,0.4392588892043695,0.02139140101297077,0,0.8778046099574698,21821.647058823528,0.31641233260666457,0.563963181904288,0.5038928682653379,0.4614227942587634,0.5793758480325645
37047,77490684.66161364,0.17300779744279815,2.4697694528214607,0.6090874846576834,0,0,0.8114450866728162,54876.529411764706,0.5297415135471816,0.3007123473541384,0.4506384303955154,0.4270307637656117,0.4555630936227951
37127,380636264.6532813,0.6488926039310208,2.62729672363492,0.6941956186170418,5.227663322198142e-4,3.34479201907273e-4,0.052029986248274734,95104.4705882353,0.7274992214263469,0.5057122385884387,0.6161112841274785,0.616440914714088,0.7418588873812755
27171,30164066.59104429,0.9997773003482102,2.6071907678737043,0.6054165163562856,0.04659884331084944,0,3.117394878106452,134998.82352941178,0.38118966054188724,0.7407101629763371,0.5414720232533997,0.554457282257208,0.5237449118046132
55039,281206348.23293,1.0739310854885602,1.6651445326870031,0.7833082581670678,0.0064285258994088885,0,0.47038852086811195,102653.17647058824,0.6932419806913734,0.611568908962203,0.3580400705906779,0.5542836534147514,0.41350067842605154
