fips,fy,oblig,oblig_pc,oblig_pos,oblig_pos_pc,pop
29510,2008,14485877527.415287,45559.52108762336,14641617834.996155,46049.33979649999,317955
10001,2008,1120895604.2547312,7097.6451116335675,1136359702.706192,7195.565633726085,157925
36023,2008,252100935.91598955,5089.144193552083,252117475.38607588,5089.4780746931765,49537
39071,2008,233274219.37893027,5338.082823316482,233321870.8860342,5339.173246820004,43700
21163,2008,202960154.0680327,7007.808648160787,203008118.7498279,7009.464772799803,28962
18071,2008,237658764.47972944,5698.567665261466,237660512.8380895,5698.609587293838,41705
22057,2008,677359966.8103558,7085.132964555043,678710871.8551741,7099.263327041767,95603
22097,2008,583006918.2948655,6905.455817390947,590824252.4851094,6998.0486394768195,84427
51025,2008,113394984.26598328,6373.727405203939,114003966.62210466,6407.957204322672,17791
01101,2008,2874833602.3699775,12638.797870272167,2893153359.3513412,12719.338081479204,227461
13075,2008,85926143.19487742,5034.636620078362,85956883.39978078,5036.437768780734,17067
21067,2008,2585395604.2596064,8986.959967254257,2643569271.7510056,9189.17444461788,287683
28157,2008,58713669.12604562,5835.768723391871,58713669.12604562,5835.768723391871,10061
53075,2008,207183970.55960807,4730.011656079815,207788156.14887202,4743.805217772522,43802
54109,2008,207750620.96377188,8671.812871552025,207750620.96377188,8671.812871552025,23957
21171,2008,188586700.7352522,17159.845380823677,188586700.7352522,17159.845380823677,10990
13025,2008,80576700.83850352,4580.043246660804,80576700.83850352,4580.043246660804,17593
13043,2008,59879223.88251441,5600.900185437697,59879223.88251441,5600.900185437697,10691
47021,2008,154613963.76728058,3969.855541306919,154613963.76728058,3969.855541306919,38947
48055,2008,164847148.12730932,4375.9695290093,164847148.12730932,4375.9695290093,37671
47183,2008,216620970.8947895,6281.78201179647,216685633.92873695,6283.65717227517,34484
48183,2008,792215211.1723038,6648.499132844095,792566437.9508021,6651.4467295316435,119157
53001,2008,62400962.72074291,3509.2207131224222,62424495.7991054,3510.5441344677424,17782
54107,2008,729026668.7101287,8400.570027656668,734829758.586359,8467.438998264164,86783
02261,2008,42155555.04151851,4457.132061907222,42270570.09689294,4469.292672541017,9458
13085,2008,95825022.53961919,4365.405791973905,95825576.18643321,4365.431013914319,21951
13105,2008,145395568.47262418,7100.433094331405,145940637.18490016,7127.051676754415,20477
17189,2008,93592523.71636197,6300.405500933151,93592624.3635249,6300.412276238633,14855
30045,2008,13178341.470940953,6363.274491038606,13318335.438763047,6430.871771493504,2071
31183,2008,4038241.582885515,4859.496489633592,4038241.582885515,4859.496489633592,831
19105,2008,104474748.0179273,5011.259977836114,104487030.23540686,5011.849109526423,20848
46051,2008,45794282.22775169,6197.629209331667,45794282.22775169,6197.629209331667,7389
51135,2008,161096149.80302104,10165.719051115104,169624846.92221105,10703.909063053641,15847
54091,2008,93174387.62766469,5548.736757245396,93194167.30116047,5549.914679678446,16792
21173,2008,200296697.78858933,7709.352903606071,200303089.4953607,7709.598918261834,25981
46099,2008,906750298.2639538,5451.841620153642,914931814.7866893,5501.033037438006,166320
47169,2008,48769835.78717436,6271.03456180717,48769835.78717436,6271.03456180717,7777
47105,2008,361897012.7315697,7644.311873844994,361905463.13031006,7644.490370713322,47342
55121,2008,153778905.41681686,5404.853979221737,154874829.67442614,5443.372334965069,28452
27083,2008,159822045.90119192,6231.8508110891335,159843890.1819358,6232.702572796373,25646
27161,2008,94640824.70285486,4900.876428090459,94979495.96632272,4918.414166346783,19311
51125,2008,113399913.58754371,7534.877979238785,113441988.99705124,7537.67368751171,15050
53015,2008,612511963.672913,6023.443903635758,613479288.2763866,6032.956575764953,101688
06017,2008,962692617.0896428,5373.667971474422,964499284.2791843,5383.752633431115,179150
10003,2008,2984484595.2220416,5589.362075710153,2998214409.423386,5615.075360652684,533958
13061,2008,18139842.790814623,5610.839093972973,18142701.356733352,5611.723277678117,3233
13307,2008,12032484.768771823,4440.031279989603,12032484.768771823,4440.031279989603,2710
31045,2008,45235996.436211385,4952.484829889576,45415495.2605228,4972.136551403853,9134
41059,2008,626696146.635647,8413.383989845976,629470947.277518,8450.635636310788,74488
05065,2009,128228565.79061887,9374.118414403018,128279839.61360976,9377.866774881919,13679
27131,2009,294522734.92328346,4612.078719104331,294619258.43972117,4613.590229094116,63859
31011,2009,41653981.46876203,7554.222246783103,41797402.24883354,7580.232544220808,5514
37015,2009,185909760.082998,8762.714936038745,185916515.29622462,8763.033337868808,21216
53057,2009,1467757914.5282867,12592.619186563541,1469241756.769943,12605.349801126857,116557
13217,2009,472583220.04935735,4749.866525110633,472839289.42000204,4752.440241823648,99494
55061,2009,131389181.10836625,6392.078866862868,132329527.81547886,6437.826699853022,20555
48009,2009,86182165.27100483,9551.387041006852,86189429.2599878,9552.192093537382,9023
06115,2009,929571677.6902872,12981.575512034959,943410771.7614808,13174.840054205326,71607
05085,2009,347540412.21692526,5150.196532608072,347571527.13845396,5150.65762419724,67481
05013,2009,384966689.70691586,71013.96231450209,399521387.04147863,73698.83546236463,5421
36059,2009,18491366651.198505,13881.490300339396,18537222086.764748,13915.914028776438,1332088
38037,2009,24531932.71184565,10225.899421361255,24531932.71184565,10225.899421361255,2399
54061,2009,870225379.3970423,9241.495028907155,875557842.2786928,9298.123955595953,94165
41059,2009,872541839.7144749,11603.104292802762,875243614.7624524,11639.032630253758,75199
48333,2009,42382039.63458517,8690.186515190726,42382039.63458517,8690.186515190726,4877
56039,2009,191991512.8679947,9042.554298605628,194197617.93125764,9146.459020876866,21232
06067,2009,65338519717.40964,46385.39921341078,65787416678.77852,46704.08204933727,1408601
18097,2009,21677847501.11429,24129.555073958963,22101759024.146084,24601.409876007725,898394
22005,2009,2013200760.2641869,19141.984180810356,2013884824.0949762,19148.488419873884,105172
39043,2009,832341256.5690658,10797.70716182222,834184821.6206616,10821.623164307734,77085
40017,2009,813347683.576362,7185.938928633947,813655076.5275531,7188.654749947459,113186
48215,2009,4679614821.216765,6177.9703185042345,4708233154.813549,6215.751892903131,757468
51155,2009,280338425.637503,8012.416418129159,281597566.0048338,8048.404195862405,34988
12031,2009,12977888176.9174,15094.165675442868,13115759508.66036,15254.519401322827,859795
17107,2009,214313090.59553576,7063.248651886354,214354314.94222656,7064.607308095266,30342
49049,2009,1501506707.1167312,2974.4527192234787,1505530895.8362153,2982.4245511324566,504801
21083,2009,316705528.6812795,8575.369020937926,316919560.74017847,8581.164322002016,36932
21167,2009,143712095.00110418,6751.484308987324,143741126.33413765,6752.848178809436,21286
37037,2009,426220581.33163846,6798.535423917159,426290761.7097434,6799.654853169307,62693
19161,2009,83068121.78230077,8032.113883417209,83078408.12971403,8033.10850219629,10342
25019,2009,177735416.50150013,17382.436821662603,177764226.59398958,17385.25443462001,10225
27047,2009,225477001.5009968,7200.747341391652,225482786.56617674,7200.932091022155,31313
51680,2009,1568677133.1060114,20877.558767398372,1573618525.625366,20943.32387006889,75137
08113,2009,62676939.520545036,8493.961176385017,62688575.96019484,8495.538143406267,7379
02050,2009,224605241.54115617,13321.781823318872,225618308.82049376,13381.868850563094,16860
06111,2009,6478910405.020972,7948.315489579542,6499016555.607971,7972.981678515048,815130
53005,2009,8252525843.35097,48225.97821058058,8352004145.747973,48807.307919192,171122
13077,2009,552450727.7851489,4401.962755556919,552575057.7916399,4402.953425005697,125501
19155,2009,736135300.5557394,7967.263386067854,736656499.2954296,7972.904370316895,92395
36121,2009,337389408.5565837,7988.195107410354,340013482.46626246,8050.323952700598,42236
13001,2009,115011164.98816988,6338.798775803014,115011164.98816988,6338.798775803014,18144
26103,2009,463710939.1983252,6945.41959407362,463935962.5886326,6948.789973618402,66765
08119,2009,123204846.14247766,5371.445530909782,123245204.88608831,5373.205078523273,22937
29063,2009,49094135.007779546,3828.0027296514268,49099300.84508034,3828.405523982872,12825
13039,2009,1100302522.3139937,21995.492609827157,1104150606.99654,22072.417379588598,50024
26137,2009,162391197.45072952,6713.1540905634365,162406225.6069077,6713.77534546952,24190
26113,2009,90419355.16290897,6069.227759626056,90441337.38707542,6070.703274739926,14898
39107,2009,206023842.15300363,5042.80607399348,244356266.5771146,5981.061475391375,40855
16041,2009,55115847.58921306,4320.4395695863495,55115847.58921306,4320.4395695863495,12757
20113,2009,219831598.30752385,7522.811522398325,219938745.24481753,7526.4781755122,29222
16063,2009,28168312.930478472,5468.5134790290185,28291564.266861055,5492.441131209679,5151
19015,2009,153943503.99055627,5840.0418812805865,154150048.53894714,5847.8774104304675,26360
19055,2009,101770165.8864525,5731.915848293579,101792371.82222581,5733.166534622687,17755
38091,2009,24383976.624906193,12634.184779744142,24524546.471049283,12707.018896916727,1930
42105,2009,150089720.92011112,8634.778559435688,150202391.881845,8641.26060763117,17382
47035,2009,471722675.2641271,8473.248226471604,472042332.8313113,8478.9900278651985,55672
48325,2008,191449026.7608878,4242.073669116301,191609926.75293982,4245.638845869576,45131
18163,2008,1394383501.9878867,7831.283393078952,1394464669.3790567,7831.739253924712,178053
39025,2008,808608386.7463722,4127.848582866861,808771157.5255787,4128.679508122265,195891
53033,2008,12019160246.752436,6410.150423330117,12090988631.864172,6448.458486770366,1875020
53063,2008,2666261208.7872114,5767.844730785746,2673078711.234411,5782.592834023944,462263
29189,2008,9208534973.723501,9223.92971241352,9249720236.60005,9265.183828409667,998331
08069,2008,1282087287.9426813,4395.9790431773745,1291725665.985844,4429.026799197133,291650
20161,2008,283265639.50466025,4079.051314795522,288353891.98308444,4152.32261942118,69444
18055,2008,180616924.52791607,5477.05748030191,186871820.45099026,5666.731978378575,32977
39087,2008,438337993.8694833,6997.732980036451,438410579.3416554,6998.891751942136,62640
06041,2008,1457269235.73182,5866.670567926554,1458870614.3542738,5873.11739367577,248398
55105,2008,1083929290.1195474,6747.273774919839,1086323707.1933353,6762.178610203336,160647
12009,2008,8569899942.097148,15800.60390004231,8643946427.222893,15937.125818567296,542378
12071,2008,4066202964.3638315,6655.1709445154565,4069107371.8745203,6659.9246001114925,610984
25021,2008,4363473050.521568,6594.307492215644,4390480365.139578,6635.12235117504,661703
12103,2008,10345663288.15843,11288.747862049793,10443384307.489763,11395.376883053848,916458
08101,2008,940448704.8382379,5999.749309964005,947652975.8873909,6045.710158262886,156748
51550,2008,1127291936.5995526,5160.222727478749,1135129655.1767404,5196.10018940364,218458
24031,2008,16176690007.351446,17159.08175604875,16528447336.063166,17532.200902110813,942748
39085,2008,1442588640.4037423,6274.743546888016,1446965191.7187262,6293.779976506395,229904
37119,2008,3295382793.0216722,3711.0542708447183,3302950712.7460666,3719.5767893436605,887991
29019,2008,685746372.5314206,4337.723513536176,686273348.1386625,4341.056924508742,158089
46005,2008,113126190.09275194,6729.69601979488,114493073.99654844,6811.009755892233,16810
18089,2008,3142405805.691477,6342.157398580923,3145826787.2864475,6349.061791289737,495479
48091,2008,535771498.1890532,5187.964774469878,535836886.3692002,5188.597939123869,103272
23011,2008,1135343122.2728438,9294.891583688865,1139882290.744613,9332.053106049374,122147
25001,2008,2154019611.1007876,9923.339496285866,2155512414.2942266,9930.216681996382,217066
24027,2008,3023650070.2647276,10860.616979812603,3053425637.8497014,10967.567528778942,278405
41019,2008,784955053.2071061,7314.42704915489,785456356.4592657,7319.098330717374,107316
23009,2008,319828469.2312935,5882.335605953422,320085583.0302714,5887.064483461246,54371
35001,2008,4898671562.9405365,7572.778777701141,4957814763.998781,7664.207315431141,646879
33017,2008,621696260.4430798,5076.7292213219,622047526.5450717,5079.597636330816,122460
12057,2008,7645887767.749413,6388.753562914114,7720625741.486141,6451.2031450292925,1196773
42091,2008,7343774636.460669,9304.7508856011,7392175744.766402,9366.076331664748,789250
47189,2008,488440026.8736425,4421.312045129555,488447225.7391901,4421.377208566632,110474
19125,2008,180225731.9528164,5377.4647755577025,180314817.14906144,5380.122844966774,33515
17031,2008,32350774599.31699,6267.306039139404,32441480993.356323,6284.878562152911,5161831
18027,2008,149034361.89249986,4815.793514476359,149072799.9444268,4817.035575158394,30947
36091,2008,1036241487.7662545,4769.1087516050775,1037401645.6464285,4774.4481625096805,217282
06099,2008,2351693702.7990413,4619.9329370236865,2356848153.996548,4630.058923597236,509032
17093,2008,204658243.6576816,1885.2259477121345,204692136.41496196,1885.5381535843362,108559
16031,2008,93218264.5601961,4211.541725860491,93317585.57873885,4216.028986118137,22134
36005,2008,7446556681.100258,5461.402433391609,7447916393.136074,5462.399664049903,1363488
48167,2008,2236705727.251887,7749.038525971137,2243639419.563861,7773.060214742297,288643
05045,2008,445265388.0847063,4104.698582046944,445353776.54557514,4105.513394964602,108477
27053,2008,7706648855.327757,6788.96419781633,7751013286.16113,6828.045845136495,1135173
45025,2008,231615201.53369594,5000.4361392451465,236876421.80006853,5114.022794103252,46319
06073,2008,27650260011.103985,9149.304663058594,28028642410.233524,9274.509122162592,3022116
12091,2008,3009773336.7752485,16559.781112588847,3062136814.831625,16847.885111754615,181752
25017,2008,18888008152.777912,12787.665238443622,19299190403.87885,13066.046152753801,1477049
47031,2008,1178433379.95483,22463.465115418032,1190388030.417379,22691.346367086902,52460
42093,2008,131675899.03324552,7278.933058775319,131682866.76581794,7279.318229177332,18090
44007,2008,4181776443.8832226,6660.056863367924,4187393603.205533,6669.002965819648,627889
13233,2008,381500833.1672997,9213.438142519373,382319149.38380384,9233.200893177574,41407
30029,2008,474428118.9992746,5256.238854412526,476816248.8161335,5282.697194949407,90260
37089,2008,746085242.7552998,7154.016653293251,746155213.5575445,7154.687585052541,104289
51133,2008,103840088.9358278,8309.866272073288,103840088.9358278,8309.866272073288,12496
12087,2008,548089223.7778834,7535.944229037308,552681510.7713606,7599.085807388432,72730
23023,2008,492564650.5741913,13735.768281488881,1045658075.2599602,29159.4555287217,35860
39099,2008,1920941756.8135722,7951.8394384016865,1923027181.356726,7960.47216298547,241572
24013,2008,979303898.7519002,5848.930012314778,980021138.5397894,5853.213754396023,167433
37027,2008,458248647.8609565,5552.711813842215,458297600.0301232,5553.304979341588,82527
37193,2008,397288696.8742186,5731.47563908159,397343623.00906575,5732.268029618503,69317
54041,2008,127806798.31497262,7782.657308182476,127827123.19945334,7783.894970128689,16422
28007,2008,142580792.0830787,7266.374074155474,142629624.94135693,7268.8627531014645,19622
39011,2008,257318756.20199138,5573.651227110086,257334581.75908068,5573.994016485383,46167
12101,2008,3312308906.221549,7180.176813186598,3314241427.006168,7184.365987965151,461313
47159,2008,47829045.62515099,2493.82374603217,169303635.02758068,8827.552793554443,19179
13143,2008,171147570.19478634,5974.779898578682,171160167.11677068,5975.2196584664225,28645
19191,2008,111349808.56407946,5307.426528316466,111396578.60717687,5309.655796338268,20980
24037,2008,2836552187.412882,27830.890468234044,2889512140.972989,28350.508148202913,101921
42075,2008,960459633.2863462,7299.767684241158,964494403.7222526,7330.4330925734,131574
26099,2008,11280091671.706799,13463.02730860612,11569851154.557693,13808.861362449312,837857
22105,2008,730923472.2963794,6161.838732571631,760766657.3786749,6413.4230648761595,118621
17043,2008,12132231109.651497,13335.082193686398,12138277925.811642,13341.728521948435,909798
48043,2008,53966003.41250856,6085.476253102003,53983886.20460157,6087.49280611204,8868
21073,2008,1567429107.7350721,31793.04897943393,1568337536.9348528,31811.475161454186,49301
42037,2008,455099275.6749896,6828.708465376091,455134854.5053634,6829.242321334885,66645
22051,2008,3520822976.78401,8154.602398060052,3544917611.999979,8210.408148990477,431759
48035,2008,126584740.75408754,7056.398949444648,126702741.2624887,7062.97682493387,17939
56007,2008,160141432.94678393,10227.451331382292,160569698.23705825,10254.802544198381,15658
20021,2008,148158178.5109938,6821.278936970249,148159013.35211074,6821.317373485762,21720
01117,2008,940244378.3927554,4987.134301466873,956605321.2320977,5073.914101605534,188534
19013,2008,774748273.4146408,5996.364429731823,775021789.4230042,5998.481377545445,129203
27111,2008,360866057.9368497,6255.153454383694,360927601.76835597,6256.2202383102385,57691
48307,2008,61378098.78943628,7482.396536564218,61378098.78943628,7482.396536564218,8203
20023,2008,26630426.324250013,9586.18658180346,26630732.286963027,9586.296719569124,2778
16055,2008,1044792452.5165955,7703.425221501585,1045324053.3476002,7707.344801164962,135627
36025,2008,312057549.5409047,6452.40265370024,313361457.88253397,6479.363519271633,48363
12001,2008,1558999419.9021294,6366.173188976713,1566912874.2892787,6398.487775184079,244888
46091,2008,26660082.852932844,5773.079872874154,26919518.836054303,5829.259167616783,4618
48061,2008,1821230845.4253256,4634.175179199302,1823950427.2571602,4641.095234751044,393000
37063,2008,2023720694.9408855,7802.868238794883,2041570396.3360066,7871.691406159898,259356
26107,2008,245336522.8949014,5747.87439718158,245369830.57862622,5748.654747291104,42683
05143,2008,1020447374.3338327,5174.078958001008,1021089191.5010211,5177.333229395259,197223
13139,2008,1218046874.3478353,6870.86804462979,1222430025.4096656,6895.5929162252605,177277
49039,2008,107478020.45874093,3986.7213345725336,108290451.40961204,4016.8571315557715,26959
30049,2008,631293131.4534681,10223.867255955238,635543803.1956832,10292.707389762794,61747
30097,2008,18827508.6599536,5013.983664435047,18827556.739808504,5013.996468657391,3755
13313,2008,449917059.67254543,4474.738524382326,450178458.2170654,4477.3383149709125,100546
54077,2008,197625149.1159191,5976.506762510028,197795800.35817972,5981.667534344807,33067
20041,2008,161670119.19952142,8139.669680773408,161839846.30326182,8148.2149986538025,19862
48001,2008,313959505.2769887,5416.550304107598,314970016.0511753,5433.984025174254,57963
51730,2008,962037370.097117,29765.086788685898,986362142.1611124,30517.68640082647,32321
54011,2008,782486268.5303302,8218.616606941887,785529559.1747868,8250.580923807485,95209
06047,2008,973257991.7381042,3884.6721524802792,974708224.9405953,3890.460628489871,250538
18085,2008,360003550.38927203,4669.85186843175,360369937.0665534,4674.604520197603,77091
33019,2008,341788600.745846,7809.276412499051,341813530.9665133,7809.846024779246,43767
17061,2008,95598160.96415666,6849.968541427103,95640210.643657,6852.981559448051,13956
28161,2008,114479868.31075276,8904.088691821791,114479868.31075276,8904.088691821791,12857
36085,2008,2896841155.249395,6247.2178305619245,2900335370.491259,6254.753322704198,463701
40151,2008,56909902.09878214,6669.38967523522,56925379.44116473,6671.2034971481,8533
21199,2008,608827486.2755835,9777.21994982469,608899645.396,9778.378760173438,62270
28011,2008,233432645.02138284,6663.411881176719,233436570.08590123,6663.523923438605,35032
42073,2008,806915816.6803575,8790.124149549636,807002953.4040585,8791.0733720131,91798
13255,2008,372030432.25228596,5844.848191737537,372032263.6576681,5844.876964347271,63651
26075,2008,1020883841.1440349,6347.793198470604,1020966843.0002142,6348.309298928738,160825
19039,2008,46076413.97127769,4999.068457337278,46076413.97127769,4999.068457337278,9217
